2.179.172.0	2.179.175.255	Iran Telecommunication Company Pjs
2.179.176.0	2.179.191.255	Iran Telecommunication Company Pjs
2.179.192.0	2.179.199.255	Iran Telecommunication Company Pjs
2.179.200.0	2.179.207.255	Iran Telecommunication Company Pjs
2.179.208.0	2.179.223.255	Iran Telecommunication Company Pjs
2.179.224.0	2.179.239.255	Iran Telecommunication Company Pjs
2.179.240.0	2.179.255.255	Iran Telecommunication Company Pjs
2.180.0.0	2.180.127.255	Iran Telecommunication Company Pjs
2.180.128.0	2.180.191.255	Iran Telecommunication Company Pjs
2.180.192.0	2.180.223.255	Iran Telecommunication Company Pjs
2.180.224.0	2.180.239.255	Iran Telecommunication Company Pjs
2.180.240.0	2.180.247.255	Iran Telecommunication Company Pjs
2.180.248.0	2.180.251.255	Iran Telecommunication Company Pjs
2.180.252.0	2.180.253.255	Iran Telecommunication Company Pjs
2.180.254.0	2.180.254.255	Iran Information Technology Company PJSC
2.180.255.0	2.180.255.255	Iran Telecommunication Company Pjs
2.181.0.0	2.181.31.255	Iran Telecommunication Company Pjs
2.181.32.0	2.181.35.255	Iran Telecommunication Company Pjs
2.181.36.0	2.181.39.255	Iran Telecommunication Company Pjs
2.181.40.0	2.181.47.255	Iran Telecommunication Company Pjs
2.181.48.0	2.181.55.255	Iran Telecommunication Company Pjs
2.181.56.0	2.181.63.255	Iran Telecommunication Company Pjs
2.181.64.0	2.181.79.255	Iran Telecommunication Company Pjs
2.181.80.0	2.181.95.255	Iran Telecommunication Company Pjs
2.181.96.0	2.181.111.255	Iran Telecommunication Company Pjs
2.181.112.0	2.181.127.255	Iran Telecommunication Company Pjs
2.181.128.0	2.181.159.255	Iran Telecommunication Company Pjs
2.181.160.0	2.181.175.255	Iran Telecommunication Company Pjs
2.181.176.0	2.181.177.255	Iran Telecommunication Company Pjs
2.181.178.0	2.181.178.255	Iran Telecommunication Company Pjs
2.181.179.0	2.181.179.255	Iran Telecommunication Company Pjs
2.181.180.0	2.181.183.255	Iran Telecommunication Company Pjs
2.181.184.0	2.181.187.255	Iran Information Technology Company PJSC
2.181.188.0	2.181.191.255	Iran Telecommunication Company Pjs
2.181.192.0	2.181.193.255	Iran Information Technology Company PJSC
2.181.194.0	2.181.195.255	Iran Telecommunication Company Pjs
2.181.196.0	2.181.199.255	Iran Telecommunication Company Pjs
2.181.200.0	2.181.207.255	Iran Telecommunication Company Pjs
2.181.208.0	2.181.215.255	Iran Telecommunication Company Pjs
2.181.216.0	2.181.219.255	Iran Telecommunication Company Pjs
2.181.220.0	2.181.221.255	Iran Telecommunication Company Pjs
2.181.222.0	2.181.222.255	Iran Information Technology Company PJSC
2.181.223.0	2.181.223.255	Iran Information Technology Company PJSC
2.181.224.0	2.181.255.255	Iran Telecommunication Company Pjs
2.182.0.0	2.182.31.255	Iran Telecommunication Company Pjs
2.182.32.0	2.182.39.255	Iran Telecommunication Company Pjs
2.182.40.0	2.182.43.255	Iran Telecommunication Company Pjs
2.182.44.0	2.182.47.255	Iran Telecommunication Company Pjs
2.182.48.0	2.182.63.255	Iran Telecommunication Company Pjs
2.182.64.0	2.182.95.255	Iran Telecommunication Company Pjs
2.182.96.0	2.182.97.255	Iran Telecommunication Company Pjs
2.182.98.0	2.182.99.255	Iran Telecommunication Company Pjs
2.182.100.0	2.182.103.255	Iran Telecommunication Company Pjs
2.182.104.0	2.182.107.255	Iran Telecommunication Company Pjs
2.182.108.0	2.182.109.255	Iran Telecommunication Company Pjs
2.182.110.0	2.182.111.255	Iran Telecommunication Company Pjs
2.182.112.0	2.182.119.255	Iran Telecommunication Company Pjs
2.182.120.0	2.182.123.255	Iran Telecommunication Company Pjs
2.182.124.0	2.182.127.255	Iran Telecommunication Company Pjs
2.182.128.0	2.182.135.255	Iran Telecommunication Company Pjs
